epoch,train_loss,train_acc,val_loss,val_acc,time
1,1.828,0.7216,1.1251,0.7477,01:24
2,1.7996,0.7215,1.1444,0.7399,01:25
3,1.8599,0.7079,1.0941,0.7509,01:28
4,1.8332,0.7175,1.1161,0.748,01:32
5,1.8475,0.7104,1.1319,0.7454,01:34
6,1.8401,0.7131,1.1762,0.7302,01:36
7,1.8477,0.7154,1.1652,0.7302,01:35
8,1.8384,0.7139,1.1559,0.7324,01:34
9,1.8403,0.7175,1.1302,0.7357,01:35
10,1.8282,0.7198,1.1742,0.7331,01:35
11,1.8252,0.7167,1.12,0.7357,01:36
12,1.8313,0.7159,1.1813,0.7311,01:36
13,1.8299,0.7165,1.1661,0.7266,01:37
14,1.8325,0.72,1.1458,0.7434,01:36
15,1.8477,0.7146,1.0909,0.7467,01:39
16,1.8332,0.7171,1.0924,0.7502,01:35
17,1.8593,0.7112,1.1264,0.7408,01:33
18,1.827,0.7188,1.1017,0.747,01:39
19,1.8283,0.7202,1.1825,0.7328,01:42
20,1.8439,0.7146,1.1446,0.7412,01:39
