epoch,train_loss,train_acc,val_loss,val_acc,time
1,2.7127,0.6011,1.4471,0.7146,01:35
2,2.9885,0.6718,1.7409,0.714,01:35
3,3.449,0.6639,2.0114,0.7185,01:34
4,3.8519,0.6557,2.1801,0.7204,01:35
5,4.0629,0.6632,2.3646,0.7224,01:34
6,4.1698,0.6708,2.4407,0.7172,01:34
7,4.3564,0.6705,2.7243,0.7208,01:34
8,4.4783,0.6704,2.4618,0.7447,01:33
9,4.7386,0.6728,2.6365,0.7467,01:34
10,4.7236,0.6802,3.0842,0.7185,01:33
11,4.8993,0.6807,2.7727,0.7311,01:34
12,4.9272,0.6825,2.9502,0.734,01:34
13,5.1564,0.6835,3.0222,0.734,01:34
14,5.1988,0.6817,3.1378,0.7331,01:33
15,5.2558,0.6834,3.3565,0.7256,01:34
16,5.2909,0.6884,3.3862,0.7357,01:34
17,5.3323,0.6919,3.5084,0.7188,01:34
18,5.4208,0.6935,3.673,0.7263,01:34
19,5.4399,0.6901,3.4909,0.7289,01:35
20,5.3865,0.6938,3.0454,0.748,01:37
